Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-30,150.05,151,145.14,146.59,47271042,,,
2026-02-02,150.94,151.4,146.65,147.78,0,,,
2026-02-03,165.05,165.08,153.12,157.88,112786246,,,
2026-02-04,155.41,155.85,135.68,139.54,112619360,,,
2026-02-05,136.82,137.98,128.32,130.01,92477292,,,
2026-02-06,135.33,137.69,132.35,135.9,62167164,,,
2026-02-09,136.58,145.87,134.78,142.91,57755969,,,
2026-02-10,144.97,145.56,137.77,139.51,55841488,,,
2026-02-11,139.03,139.25,132.95,135.68,52471925,,,
2026-02-12,135.36,135.89,126.56,129.17,73695153,,,
2026-02-13,127.9,133.56,126.23,131.41,49279577,,,
2026-02-17,128.9,134.32,127.29,133.02,48149574,,,
2026-02-18,135.89,140.96,134.87,135.38,59415361,,,
2026-02-19,132.31,136.16,131.01,134.89,42037406,,,
2026-02-20,132.37,136.21,131.17,135.24,53480389,,,
2026-02-23,132.04,132.04,127.39,130.6,52372519,,,
2026-02-24,129.01,130.24,126.37,128.84,46969442,,,
2026-02-25,130.61,136.09,129.18,134.19,52823124,,,
2026-02-26,133.85,137.51,132.63,135.94,44772534,,,
2026-02-27,134.07,138.1,133.98,137.2,59213674,,,
2026-03-02,140.78,147.14,140.52,145.13,72323034,,,
2026-03-03,142.1,147.5,138.2,147.22,67129382,,,
2026-03-04,148.43,154.52,148.06,153.11,59852150,,,
2026-03-05,152.94,156.38,149.61,152.67,50552147,,,
