Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,23960.43,23960.43,23708.33,23788.56,,,,
2026-01-29,23802.43,23802.43,23538.89,23725.55,,,,2026-01-30,23733.19,23806.92,23562.55,23758.23,,,,
2026-01-30,23733.19,23806.92,23562.55,23758.23,,,,
2026-02-02,23796.89,24005.89,23486.16,23492.07,,,,
2026-02-03,23671.67,24069.50,23631.16,24059.24,,,,
2026-02-04,23986.09,24138.41,23914.42,24071.10,,,,
2026-02-05,24147.59,24307.72,24048.43,24248.28,,,,
2026-02-06,24141.12,24201.19,23866.04,24180.07,,,,
2026-02-09,24512.52,24733.38,24414.11,24672.52,,,,
2026-02-10,24813.05,25248.71,24807.14,25209.00,,,,
2026-02-12,25236.70,25599.84,25219.81,25566.06,,,,
2026-02-13,25460.65,25513.27,24909.18,25059.84,,,,
2026-02-16,25116.85,25151.83,24968.46,25107.32,,,,
2026-02-17,25118.85,25278.39,24945.40,25098.44,,,,
2026-02-18,25227.23,25501.22,25227.23,25457.10,,,,
2026-02-19,25543.89,25761.75,25472.67,25748.82,,,,
2026-02-20,25585.32,25683.74,25505.87,25650.27,,,,
2026-02-24,25703.06,25859.54,25508.32,25775.47,,,,
2026-02-25,25911.31,26133.83,25842.90,26024.95,,,,
2026-02-26,26136.00,26239.07,25976.34,26141.27,,,,
2026-02-27,26149.09,26524.95,26083.99,26524.95,,,,
2026-03-02,26146.86,26662.01,25964.70,26629.85,,,,
2026-03-03,26507.25,26557.71,25640.45,25653.68,,,,
2026-03-04,25292.59,25404.38,24335.89,24688.05,,,,
2026-03-05,25108.21,25852.22,25104.99,25471.16,,,,
2026-03-06,25216.40,25566.89,25032.82,25542.40,,,,
2026-03-09,25040.02,25040.02,23870.84,24419.32,,,,
2026-03-10,24755.52,25240.07,24718.54,25013.19,,,,
2026-03-11,25233.90,25512.40,25228.97,25271.28,,,,
2026-03-12,25020.66,25049.68,24600.22,24711.84,,,,
2026-03-13,24412.05,24670.22,24400.31,24529.25,,,,
2026-03-16,24494.11,24750.71,24395.39,24577.50,,,,
2026-03-17,24812.17,24904.25,24437.47,24472.24,,,,
2026-03-18,24704.58,25145.03,24684.77,25145.03,,,,
2026-03-19,24801.41,24801.41,24268.57,24268.57,,,,
2026-03-23,23890.73,23892.51,23244.31,23432.98,,,,
2026-03-24,23864.97,24128.15,23744.93,23974.97,,,,
2026-03-25,24278.72,24732.39,24278.72,24701.38,,,,
2026-03-26,24751.45,24799.39,24387.92,24606.22,,,,
2026-03-27,24471.15,24708.92,24303.89,24639.52,,,,
2026-03-30,23934.91,23934.91,23441.86,23870.92,,,,
2026-03-31,23723.15,23971.99,23469.61,23499.55,,,,
2026-04-01,23901.66,24615.44,23890.76,24615.44,,,,
2026-04-02,24706.41,24927.79,24186.86,24230.66,,,,
2026-04-03,24411.71,24593.72,24411.04,24492.87,,,,
2026-04-06,24519.27,24732.65,24513.89,24564.15,,,,
2026-04-07,24668.72,24884.31,24491.24,24666.91,,,,
2026-04-08,25045.02,25497.14,25044.75,25477.32,,,,
2026-04-09,25425.79,25535.40,25229.55,25229.55,,,,
2026-04-10,25344.12,25488.31,25149.95,25180.22,,,,
2026-04-13,25043.25,25260.87,24942.86,25114.81,,,,
2026-04-14,25374.80,25555.64,25350.08,25392.96,,,,
2026-04-15,25656.76,25719.77,25271.35,25369.58,,,,
2026-04-16,25516.18,25710.86,25507.87,25639.15,,,,
2026-04-17,25581.59,25667.04,25439.55,25452.24,,,,
2026-04-20,25571.48,25589.81,25403.53,25431.64,,,,
2026-04-21,25591.25,25718.16,25468.76,25502.77,,,,
2026-04-22,25468.07,25503.97,25160.87,25299.48,,,,
2026-04-23,25277.14,25336.42,24853.24,25057.30,,,,
2026-04-24,25086.37,25163.77,24888.41,25013.63,,,,
2026-04-27,25057.86,25321.47,24877.80,25152.56,,,,
2026-04-28,25194.87,25434.75,25093.39,25434.75,,,,
2026-04-30,25170.03,25370.30,25105.18,25249.22,,,,
2026-05-01,25196.38,25226.37,24949.69,25141.45,,,,
2026-05-07,25400.08,25949.64,25388.74,25853.94,,,,
2026-05-08,25749.31,26063.32,25682.90,26060.36,,,,
2026-05-11,26197.00,26319.35,26075.14,26105.22,,,,
2026-05-12,26253.22,26498.32,26089.14,26144.26,,,,
2026-05-13,26050.73,26515.47,25987.14,26458.08,,,,
2026-05-14,26545.25,26949.42,26468.31,26640.45,,,,
2026-05-15,26759.92,26912.25,26165.86,26386.13,,,,
2026-05-18,26468.32,26472.40,26121.67,26306.01,,,,
2026-05-19,26475.74,26533.47,26036.29,26180.05,,,,
2026-05-20,26030.46,26042.29,25400.19,25613.85,,,,
2026-05-21,25904.76,26274.25,25872.98,25991.31,,,,
2026-05-22,26157.26,26476.17,26110.91,26380.53,,,,
2026-05-25,26595.44,26752.79,26440.44,26556.09,,,,
2026-05-27,26380.74,26499.49,25989.68,26066.79,,,,
2026-05-28,25981.29,26156.51,25711.83,26116.90,,,,
2026-05-29,26239.32,26713.41,26122.63,26387.79,,,,
2026-06-01,26344.99,26452.15,26032.11,26261.77,,,,
2026-06-02,26093.60,26151.51,25464.83,26029.90,,,,
2026-06-03,26097.79,26301.32,25915.78,26077.57,,,,
2026-06-04,25868.21,26088.48,25822.16,25968.82,,,,
2026-06-05,25970.50,26289.64,25770.10,26171.77,,,,
2026-06-08,25858.20,25932.58,25208.30,25386.74,,,,
2026-06-09,25625.59,25711.18,25271.82,25519.51,,,,
2026-06-10,25443.65,25491.24,25048.46,25194.24,,,,
2026-06-11,24969.70,25029.07,24578.14,24989.99,,,,
2026-06-12,25215.08,25598.06,25180.82,25355.58,,,,
2026-06-15,25656.74,25989.95,25653.88,25794.79,,,,
