Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,5436.53,5523.24,5415.84,5493.76,,,,
2026-01-29,5434.74,5529.26,5411.96,5504.92,,,,2026-01-30,5536.05,5549.27,5459.32,5517.14,,,,
2026-02-02,5604.67,5653.39,5458.59,5458.59,,,,
2026-02-03,5533.72,5657.16,5531.68,5648.29,,,,
2026-02-04,5688.06,5776.34,5641.23,5727.58,,,,
2026-02-05,5753.18,5803.07,5651.67,5776.53,,,,
2026-02-06,5733.11,5889.86,5725.98,5889.86,,,,
2026-02-09,5990.96,6104.45,5971.41,6067.37,,,,
2026-02-10,6111.39,6244.81,6083.36,6244.81,,,,
2026-02-12,6256.66,6423.42,6250.11,6413.92,,,,
2026-02-13,6374.92,6405.55,6288.68,6305.34,,,,
2026-02-16,6300.10,6307.98,6135.51,6174.04,,,,
2026-02-17,6160.58,6219.81,6098.24,6123.48,,,,
2026-02-18,6159.68,6220.74,6156.71,6184.92,,,,
2026-02-19,6223.08,6293.20,6187.26,6286.17,,,,
2026-02-20,6226.76,6284.24,6163.57,6176.08,,,,
2026-02-24,6185.46,6262.19,6145.98,6251.82,,,,
2026-02-25,6266.74,6377.66,6195.88,6341.84,,,,
2026-02-26,6415.73,6431.79,6338.61,6346.21,,,,
2026-02-27,6318.64,6526.96,6318.64,6488.35,,,,
2026-03-02,6372.95,6501.62,6314.81,6488.38,,,,
2026-03-03,6453.86,6541.61,6347.79,6351.42,,,,
2026-03-04,6244.13,6244.13,5912.07,5970.48,,,,
2026-03-05,6076.62,6282.81,6076.62,6163.86,,,,
2026-03-06,6065.97,6145.88,5999.26,6126.30,,,,
2026-03-09,6009.54,6009.54,5732.67,5915.72,,,,
2026-03-10,6002.92,6167.33,6001.14,6131.80,,,,
2026-03-11,6225.90,6244.97,6163.51,6176.62,,,,
2026-03-12,6086.58,6108.27,5965.17,6041.02,,,,
2026-03-13,5940.13,6173.19,5938.03,6100.43,,,,
2026-03-16,6133.94,6155.80,6040.54,6112.46,,,,
2026-03-17,6201.18,6330.78,6200.24,6234.94,,,,
2026-03-18,6320.64,6575.15,6316.40,6554.48,,,,
2026-03-19,6440.87,6442.99,6217.39,6217.39,,,,
2026-03-23,6104.33,6104.83,5889.57,5976.26,,,,
2026-03-24,6085.09,6200.14,6076.17,6180.02,,,,
2026-03-25,6287.51,6359.99,6286.41,6322.72,,,,
2026-03-26,6370.31,6420.98,6305.01,6380.92,,,,
2026-03-27,6374.69,6479.72,6316.37,6467.08,,,,
2026-03-30,6283.08,6338.47,6140.02,6305.02,,,,
2026-03-31,6213.12,6257.82,6099.82,6099.82,,,,
2026-04-01,6207.95,6395.80,6206.95,6395.80,,,,
2026-04-02,6457.37,6513.67,6266.93,6279.68,,,,
2026-04-03,6342.91,6392.68,6303.89,6358.73,,,,
2026-04-06,6332.85,6378.62,6293.65,6301.60,,,,
2026-04-07,6332.15,6388.07,6277.45,6338.44,,,,
2026-04-08,6452.64,6576.98,6420.84,6444.31,,,,
2026-04-09,6488.03,6542.96,6410.11,6421.94,,,,
2026-04-10,6436.86,6444.20,6306.47,6309.31,,,,
2026-04-13,6309.69,6379.53,6234.50,6255.98,,,,
2026-04-14,6304.17,6304.17,6200.35,6212.81,,,,
2026-04-15,6245.71,6254.00,6090.08,6095.94,,,,
2026-04-16,6115.93,6192.66,6115.93,6172.64,,,,
2026-04-17,6139.02,6139.02,6025.06,6037.95,,,,
2026-04-20,6104.79,6107.51,6024.47,6038.42,,,,
2026-04-21,6020.89,6052.41,5996.00,6012.55,,,,
2026-04-22,5959.54,5959.54,5864.36,5887.31,,,,
2026-04-23,5866.27,5950.26,5817.74,5907.45,,,,
2026-04-24,5980.01,6025.43,5934.25,5973.87,,,,
2026-04-27,5915.25,5953.31,5833.02,5907.00,,,,
2026-04-28,5982.89,6048.32,5956.28,6026.67,,,,
2026-04-30,5991.09,6036.56,5945.30,6036.56,,,,
2026-05-01,6000.01,6312.10,5931.51,6187.23,,,,
2026-05-07,6161.67,6282.51,6096.67,6232.71,,,,
