Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-11,410.25,410.25,410.25,410.25,,,,
2026-06-15,415.5,415.5,415.5,415.5,,,,
2026-06-16,413.75,413.75,413.75,413.75,,,,
2026-06-17,421,421,421,421,,,,
2026-06-18,417.5,417.5,417.5,417.5,,,,
2026-06-19,417.5,417.5,417.5,417.5,,,,
2026-06-22,411.5,411.5,411.5,411.5,,,,
2026-06-23,409.75,409.75,409.75,409.75,,,,
2026-06-24,407,407,407,407,,,,
2026-06-25,414.75,414.75,414.75,414.75,,,,
2026-06-26,411.75,411.75,411.75,411.75,,,,
2026-06-29,402,402,402,402,,,,
2026-06-30,412.75,412.75,412.75,412.75,,,,
2026-07-01,421,421,421,421,,,,
2026-07-02,424.5,424.5,424.5,424.5,,,,
2026-07-03,424.5,424.5,424.5,424.5,,,,
2026-07-06,440.75,440.75,440.75,440.75,,,,
2026-07-07,442.5,442.5,442.5,442.5,,,,
2026-07-08,434.75,434.75,434.75,434.75,,,,
2026-07-09,427.75,427.75,427.75,427.75,,,,
2026-07-10,438,438,438,438,,,,
2026-07-13,437.75,437.75,437.75,437.75,,,,
2026-07-14,433.75,433.75,433.75,433.75,,,,
2026-07-15,447.5,447.5,447.5,447.5,,,,
2026-07-16,441.5,441.5,441.5,441.5,,,,
