Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,993.01,1020.60,991.34,1013.32,,,,
2026-01-29,1019.49,1034.27,992.58,1034.27,,,,2026-01-30,1051.82,1060.56,1022.87,1036.62,,,,
2026-02-02,1041.61,1050.81,998.72,1005.16,,,,
2026-02-03,1025.85,1035.70,1023.31,1035.70,,,,
2026-02-04,1050.53,1081.54,1049.71,1078.31,,,,
2026-02-05,1090.98,1096.71,1065.44,1076.03,,,,
2026-02-06,1068.31,1107.32,1064.49,1107.32,,,,
2026-02-09,1126.98,1137.14,1107.26,1122.14,,,,
2026-02-10,1142.30,1167.31,1142.30,1157.97,,,,
2026-02-12,1171.08,1220.33,1165.31,1216.36,,,,
2026-02-13,1194.88,1195.12,1063.63,1072.58,,,,
2026-02-16,1093.37,1105.20,1080.89,1090.32,,,,
2026-02-17,1103.48,1110.51,1089.39,1091.71,,,,
2026-02-18,1093.27,1103.93,1090.37,1099.10,,,,
2026-02-19,1119.92,1139.74,1109.92,1132.86,,,,
2026-02-20,1132.36,1137.57,1117.79,1122.88,,,,
2026-02-24,1143.11,1143.81,1108.74,1131.05,,,,
2026-02-25,1118.49,1124.00,1102.25,1112.06,,,,
2026-02-26,1127.27,1138.76,1115.44,1124.73,,,,
2026-02-27,1125.51,1164.02,1125.29,1163.92,,,,
2026-03-02,1184.05,1284.50,1184.05,1237.33,,,,
2026-03-03,1224.13,1238.63,1203.48,1225.74,,,,
2026-03-04,1223.98,1229.83,1129.37,1168.56,,,,
2026-03-05,1188.86,1256.48,1187.27,1248.00,,,,
2026-03-06,1240.52,1251.48,1201.60,1224.85,,,,
