Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,65461.36,66099.87,64995.77,65647.59,,,,
2026-01-29,65135.54,66277.81,64544.71,65870.79,,,,2026-01-30,66371.41,66753.46,65343.82,66437.28,,,,
2026-02-02,67712.88,68802.45,65294.56,65374.28,,,,
2026-02-03,66851.74,69675.91,66851.74,69545.16,,,,
2026-02-04,69253.07,70059.79,68696.71,69920.70,,,,
2026-02-05,70410.14,71081.38,69137.59,69682.97,,,,
2026-02-06,69111.57,71341.42,68163.88,71341.42,,,,
2026-02-09,73481.66,76577.88,73410.32,74994.10,,,,
2026-02-10,76134.01,78353.84,76029.02,78053.86,,,,
2026-02-12,78038.25,79240.28,77882.14,78974.90,,,,
2026-02-13,78390.49,78532.64,76352.93,76447.70,,,,
2026-02-16,76722.91,76891.10,75163.38,75239.83,,,,
2026-02-17,75059.25,75495.65,73614.65,74276.76,,,,
2026-02-18,75227.50,76505.06,75227.50,76074.26,,,,
2026-02-19,76728.50,78128.27,76393.77,77869.61,,,,
2026-02-20,76483.53,76514.68,75735.98,76265.50,,,,
2026-02-24,76158.73,76951.89,75716.39,76601.07,,,,
2026-02-25,77137.28,78822.50,76524.47,78102.45,,,,
2026-02-26,79508.29,80461.14,79273.99,79445.81,,,,
2026-02-27,79271.03,81574.96,79271.03,81527.29,,,,
2026-03-02,79244.53,80059.80,77059.59,79978.27,,,,
2026-03-03,78474.68,79018.53,74475.77,74811.67,,,,
2026-03-04,72716.94,72806.72,67689.60,69440.19,,,,
2026-03-05,71801.16,74884.30,71245.63,72009.48,,,,
2026-03-06,70554.89,72671.97,70036.42,72542.35,,,,
2026-03-09,69916.32,69916.32,63779.23,66971.10,,,,
2026-03-10,68631.98,71297.43,68631.98,70266.08,,,,
2026-03-11,71924.36,73273.47,71530.87,71713.56,,,,
2026-03-12,70078.49,70437.06,68486.45,69849.01,,,,
2026-03-13,67963.09,69765.19,67613.84,69066.70,,,,
2026-03-16,68735.18,69508.73,67464.35,68445.10,,,,
2026-03-17,69855.07,70690.10,68636.75,69156.93,,,,
2026-03-18,70332.60,72753.09,70277.27,72753.09,,,,
