Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,65461.36,66099.87,64995.77,65647.59,,,,
2026-01-29,65135.54,66277.81,64544.71,65870.79,,,,2026-01-30,66371.41,66753.46,65343.82,66437.28,,,,
2026-02-02,67712.88,68802.45,65294.56,65374.28,,,,
2026-02-03,66851.74,69675.91,66851.74,69545.16,,,,
2026-02-04,69253.07,70059.79,68696.71,69920.70,,,,
2026-02-05,70410.14,71081.38,69137.59,69682.97,,,,
2026-02-06,69111.57,71341.42,68163.88,71341.42,,,,
2026-02-09,73481.66,76577.88,73410.32,74994.10,,,,
2026-02-10,76134.01,78353.84,76029.02,78053.86,,,,
2026-02-12,78038.25,79240.28,77882.14,78974.90,,,,
2026-02-13,78390.49,78532.64,76352.93,76447.70,,,,
2026-02-16,76722.91,76891.10,75163.38,75239.83,,,,
2026-02-17,75059.25,75495.65,73614.65,74276.76,,,,
2026-02-18,75227.50,76505.06,75227.50,76074.26,,,,
2026-02-19,76728.50,78128.27,76393.77,77869.61,,,,
2026-02-20,76483.53,76514.68,75735.98,76265.50,,,,
