Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,964,964,964,964,,,,
2026-06-15,1090,1090,1090,1090,,,,
2026-06-16,449,449,449,449,,,,
2026-06-17,931,931,931,931,,,,
2026-06-18,937,937,937,937,,,,
2026-06-19,648,648,648,648,,,,
2026-06-22,792,792,792,792,,,,
2026-06-23,366,366,366,366,,,,
2026-06-24,678,678,678,678,,,,
2026-06-25,1043,1043,1043,1043,,,,
2026-06-26,915,915,915,915,,,,
2026-06-29,1089,1089,1089,1089,,,,
2026-06-30,526,526,526,526,,,,
2026-07-01,677,677,677,677,,,,
2026-07-02,1215,1215,1215,1215,,,,
2026-07-03,1226,1226,1226,1226,,,,
2026-07-06,1142,1142,1142,1142,,,,
2026-07-07,746,746,746,746,,,,
2026-07-08,564,564,564,564,,,,
2026-07-09,585,585,585,585,,,,
2026-07-10,815,815,815,815,,,,
2026-07-13,571,571,571,571,,,,
2026-07-14,1185,1185,1185,1185,,,,
