Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,964,964,964,964,,,,
2026-06-15,1090,1090,1090,1090,,,,
2026-06-16,449,449,449,449,,,,
2026-06-17,931,931,931,931,,,,
2026-06-18,937,937,937,937,,,,
2026-06-19,648,648,648,648,,,,
2026-06-22,792,792,792,792,,,,
2026-06-23,366,366,366,366,,,,
2026-06-24,678,678,678,678,,,,
2026-06-25,1043,1043,1043,1043,,,,
2026-06-26,915,915,915,915,,,,
2026-06-29,1089,1089,1089,1089,,,,
2026-06-30,526,526,526,526,,,,
2026-07-01,677,677,677,677,,,,
2026-07-02,1215,1215,1215,1215,,,,
2026-07-03,1226,1226,1226,1226,,,,
2026-07-06,1142,1142,1142,1142,,,,
2026-07-07,746,746,746,746,,,,
2026-07-08,564,564,564,564,,,,
2026-07-09,585,585,585,585,,,,
2026-07-10,815,815,815,815,,,,
2026-07-13,571,571,571,571,,,,
2026-07-14,1185,1185,1185,1185,,,,
2026-07-15,1152,1152,1152,1152,,,,
2026-07-16,446,446,446,446,,,,
2026-07-17,449,449,449,449,,,,
2026-07-21,1231,1231,1231,1231,,,,
2026-07-22,840,840,840,840,,,,
2026-07-23,687,687,687,687,,,,
2026-07-24,632,632,632,632,,,,
2026-07-27,1397,1397,1397,1397,,,,
2026-07-28,480,480,480,480,,,,
2026-07-29,1044,1044,1044,1044,,,,
2026-07-30,534,534,534,534,,,,
2026-07-31,612,612,612,612,,,,
2026-08-03,464,464,464,464,,,,
2026-08-04,629,629,629,629,,,,
2026-08-05,1019,1019,1019,1019,,,,
2026-08-06,1130,1130,1130,1130,,,,
2026-08-07,939,939,939,939,,,,
2026-08-10,916,916,916,916,,,,
2026-08-12,983,983,983,983,,,,
2026-08-13,1010,1010,1010,1010,,,,
2026-08-14,1124,1124,1124,1124,,,,
2026-08-17,627,627,627,627,,,,
2026-08-18,722,722,722,722,,,,
2026-08-19,362,362,362,362,,,,
2026-08-20,1320,1320,1320,1320,,,,
2026-08-21,883,883,883,883,,,,
2026-08-24,843,843,843,843,,,,
2026-08-25,846,846,846,846,,,,
2026-08-26,978,978,978,978,,,,
2026-08-27,712,712,712,712,,,,
2026-08-28,873,873,873,873,,,,
2026-08-31,881,881,881,881,,,,
2026-09-01,845,845,845,845,,,,
2026-09-02,100,100,100,100,,,,
