Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,3791.39,3800.30,3778.89,3787.31,,,,
2026-01-29,3772.46,3800.90,3747.92,3790.83,,,,2026-01-30,3804.79,3817.28,3783.07,3806.17,,,,
2026-02-02,3835.52,3861.48,3769.25,3772.34,,,,
2026-02-03,3800.17,3877.32,3800.17,3874.11,,,,
2026-02-04,3877.35,3906.09,3860.50,3898.62,,,,
2026-02-05,3927.59,3944.45,3896.78,3917.14,,,,
2026-02-06,3906.53,3949.63,3874.68,3949.63,,,,
2026-02-09,4005.23,4069.44,4004.46,4045.42,,,,
2026-02-10,4062.17,4121.63,4059.34,4115.44,,,,
2026-02-12,4128.17,4165.28,4124.80,4159.23,,,,
2026-02-13,4150.37,4150.37,4076.64,4089.74,,,,
2026-02-16,4110.82,4116.06,4073.40,4073.40,,,,
