Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,3791.39,3800.30,3778.89,3787.31,,,,
2026-01-29,3772.46,3800.90,3747.92,3790.83,,,,2026-01-30,3804.79,3817.28,3783.07,3806.17,,,,
2026-02-02,3835.52,3861.48,3769.25,3772.34,,,,
2026-02-03,3800.17,3877.32,3800.17,3874.11,,,,
2026-02-04,3877.35,3906.09,3860.50,3898.62,,,,
2026-02-05,3927.59,3944.45,3896.78,3917.14,,,,
2026-02-06,3906.53,3949.63,3874.68,3949.63,,,,
2026-02-09,4005.23,4069.44,4004.46,4045.42,,,,
2026-02-10,4062.17,4121.63,4059.34,4115.44,,,,
2026-02-12,4128.17,4165.28,4124.80,4159.23,,,,
2026-02-13,4150.37,4150.37,4076.64,4089.74,,,,
2026-02-16,4110.82,4116.06,4073.40,4073.40,,,,
2026-02-17,4073.25,4094.58,4052.53,4068.85,,,,
2026-02-18,4086.72,4124.89,4086.72,4115.73,,,,
2026-02-19,4126.62,4168.15,4113.10,4164.49,,,,
2026-02-20,4132.37,4138.06,4107.14,4132.56,,,,
2026-02-24,4138.63,4160.16,4111.11,4149.86,,,,
2026-02-25,4156.69,4188.70,4136.69,4170.36,,,,
2026-02-26,4199.50,4214.91,4183.89,4189.71,,,,
2026-02-27,4196.32,4279.62,4196.25,4279.62,,,,
2026-03-02,4224.31,4247.02,4171.49,4247.02,,,,
2026-03-03,4214.39,4227.66,4099.49,4108.28,,,,
2026-03-04,4049.87,4049.87,3895.01,3952.35,,,,
2026-03-05,4021.12,4092.39,3989.46,4010.98,,,,
2026-03-06,3965.36,4021.61,3945.47,4016.99,,,,
2026-03-09,3941.09,3941.63,3778.65,3862.23,,,,
2026-03-10,3906.55,3976.24,3906.55,3944.52,,,,
2026-03-11,3986.65,4031.23,3985.10,3990.58,,,,
