Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,337.36,339.41,336.42,338.11,,,,
2026-01-29,336.67,343.34,335.88,342.07,,,,2026-01-30,344.94,345.43,342.28,344.37,,,,
2026-02-02,347.86,348.88,339.54,339.76,,,,
2026-02-03,345.52,352.24,345.49,351.31,,,,
2026-02-04,349.20,354.27,347.16,352.84,,,,
2026-02-05,357.83,358.94,353.37,355.40,,,,
2026-02-06,355.95,359.33,353.69,359.33,,,,
2026-02-09,365.68,370.69,364.50,365.18,,,,
2026-02-10,369.97,375.64,369.44,374.23,,,,
2026-02-12,372.88,379.49,372.88,375.93,,,,
2026-02-13,377.36,378.34,372.08,373.45,,,,
2026-02-16,373.75,376.02,370.80,371.43,,,,
2026-02-17,372.93,375.10,369.81,370.52,,,,
2026-02-18,376.25,382.58,376.17,379.05,,,,
2026-02-19,380.22,382.38,376.60,381.10,,,,
2026-02-20,375.18,376.52,372.26,376.52,,,,
2026-02-24,374.44,374.80,368.80,371.83,,,,
2026-02-25,372.53,375.84,370.45,374.47,,,,
2026-02-26,380.27,385.22,379.94,381.12,,,,
2026-02-27,383.98,387.47,382.80,387.14,,,,
2026-03-02,379.86,379.95,369.20,376.45,,,,
2026-03-03,371.40,373.61,362.90,363.55,,,,
2026-03-04,358.83,358.83,345.27,349.57,,,,
2026-03-05,356.01,367.10,355.98,360.29,,,,
2026-03-06,356.98,362.54,355.31,362.43,,,,
2026-03-09,355.19,355.23,340.93,350.28,,,,
2026-03-10,354.17,359.64,353.15,356.17,,,,
2026-03-11,360.54,362.59,355.64,355.64,,,,
2026-03-12,352.06,352.06,343.13,346.44,,,,
2026-03-13,341.99,347.15,341.69,345.45,,,,
2026-03-16,345.91,348.57,343.16,344.47,,,,
2026-03-17,349.48,352.03,346.32,348.13,,,,
2026-03-18,352.93,356.99,352.43,356.47,,,,
2026-03-19,350.04,352.21,347.87,348.39,,,,
2026-03-23,342.33,342.45,336.56,338.83,,,,
2026-03-24,344.95,358.44,344.77,357.28,,,,
2026-03-25,363.07,381.78,363.07,380.65,,,,
2026-03-26,378.27,380.96,371.26,375.19,,,,
2026-03-27,373.69,377.71,372.37,375.91,,,,
2026-03-30,362.57,364.54,356.17,362.24,,,,
2026-03-31,363.13,373.61,361.65,363.40,,,,
2026-04-01,370.83,378.39,370.32,377.78,,,,
2026-04-02,377.57,379.88,369.49,369.55,,,,
2026-04-03,372.30,373.88,369.16,370.46,,,,
2026-04-06,369.91,372.56,369.04,369.68,,,,
2026-04-07,372.66,375.58,369.94,371.23,,,,
2026-04-08,378.29,384.01,378.27,380.99,,,,
2026-04-09,379.74,381.34,373.16,374.29,,,,
2026-04-10,374.87,374.87,370.95,371.36,,,,
2026-04-13,368.08,372.01,366.77,367.94,,,,
2026-04-14,371.92,373.11,368.64,369.71,,,,
2026-04-15,373.13,374.25,369.86,370.57,,,,
2026-04-16,374.70,376.94,374.32,375.67,,,,
2026-04-17,373.37,373.49,369.28,370.08,,,,
2026-04-20,373.34,375.11,371.48,372.28,,,,
2026-04-21,373.91,374.14,369.98,369.98,,,,
2026-04-22,370.96,371.68,367.35,368.15,,,,
2026-04-23,363.82,365.76,360.11,364.35,,,,
2026-04-24,364.90,366.41,362.68,364.40,,,,
2026-04-27,360.88,362.39,357.14,361.32,,,,
2026-04-28,364.52,372.42,362.97,371.70,,,,
2026-04-30,369.56,370.30,363.99,369.67,,,,
2026-05-01,365.18,366.08,362.63,365.14,,,,
