Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,3878.20,3895.30,3861.89,3879.94,,,,
2026-01-29,3865.49,3928.95,3846.57,3921.47,,,,2026-01-30,3946.06,3963.37,3928.60,3955.27,,,,
2026-02-02,4009.88,4026.20,3947.15,3950.23,,,,
2026-02-03,3984.45,4036.52,3984.45,4030.49,,,,
2026-02-04,4037.15,4100.79,4024.52,4095.60,,,,
2026-02-05,4140.55,4152.82,4106.72,4125.55,,,,
2026-02-06,4117.71,4178.84,4096.20,4178.84,,,,
2026-02-09,4232.30,4265.10,4195.65,4202.60,,,,
2026-02-10,4221.30,4258.94,4213.78,4250.75,,,,
2026-02-12,4246.56,4283.99,4241.20,4279.75,,,,
2026-02-13,4271.93,4273.84,4224.30,4229.56,,,,
2026-02-16,4229.65,4236.03,4181.91,4181.91,,,,
2026-02-17,4186.17,4199.17,4157.73,4167.37,,,,
2026-02-18,4196.58,4227.17,4194.66,4222.78,,,,
2026-02-19,4228.12,4263.01,4213.81,4253.76,,,,
2026-02-20,4217.18,4218.55,4188.68,4203.52,,,,
2026-02-24,4214.56,4218.83,4182.52,4205.19,,,,
2026-02-25,4209.70,4227.46,4188.90,4216.47,,,,
2026-02-26,4249.52,4276.52,4248.02,4254.12,,,,
2026-02-27,4250.11,4295.60,4244.33,4295.60,,,,
2026-03-02,4244.55,4265.40,4195.09,4265.40,,,,
2026-03-03,4217.66,4230.30,4140.22,4148.51,,,,
2026-03-04,4092.87,4092.87,3972.66,4008.53,,,,
