Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,713.35,713.35,702.38,704.52,,,,
2026-01-29,703.07,707.77,697.40,705.67,,,,2026-01-30,703.06,710.23,701.00,708.44,,,,
2026-01-30,703.06,710.23,701.00,708.44,,,,
2026-02-02,707.37,719.57,704.87,705.26,,,,
2026-02-03,708.20,716.58,706.74,715.44,,,,
2026-02-04,712.68,712.68,704.75,710.08,,,,
2026-02-05,708.15,720.58,706.47,712.01,,,,
2026-02-06,706.65,710.62,694.23,710.62,,,,
2026-02-09,718.27,719.09,712.71,714.96,,,,
2026-02-10,718.03,734.19,718.03,733.09,,,,
2026-02-12,732.16,739.80,731.60,735.65,,,,
2026-02-13,731.26,734.54,720.02,722.48,,,,
2026-02-16,726.25,742.72,725.83,742.72,,,,
2026-02-17,742.25,747.40,733.54,739.93,,,,
2026-02-18,743.09,763.95,741.81,759.29,,,,
2026-02-19,759.88,761.69,750.76,760.63,,,,
2026-02-20,760.63,764.96,745.01,745.89,,,,
2026-02-24,743.76,744.45,728.94,728.94,,,,
2026-02-25,732.89,744.84,732.89,735.47,,,,
2026-02-26,741.39,751.23,741.17,749.03,,,,
2026-02-27,754.18,777.70,754.18,777.70,,,,
2026-03-02,767.03,772.59,757.15,768.64,,,,
2026-03-03,768.26,775.06,744.18,744.33,,,,
2026-03-04,734.51,744.82,702.89,713.20,,,,
2026-03-05,726.60,761.05,726.60,749.61,,,,
2026-03-06,747.07,771.62,746.28,770.80,,,,
2026-03-09,755.75,755.78,720.50,743.09,,,,
2026-03-10,751.02,772.68,751.02,772.53,,,,
2026-03-11,774.29,788.08,773.93,780.04,,,,
2026-03-12,772.81,772.81,755.98,761.15,,,,
2026-03-13,752.72,765.11,749.36,757.51,,,,
2026-03-16,756.24,768.57,755.97,763.10,,,,
2026-03-17,768.56,774.03,747.96,750.72,,,,
2026-03-18,757.79,778.71,757.40,778.71,,,,
2026-03-19,767.18,767.18,743.39,744.86,,,,
2026-03-23,732.21,732.21,704.20,705.16,,,,
2026-03-24,718.19,729.90,711.18,724.55,,,,
2026-03-25,731.56,743.96,731.56,741.48,,,,
2026-03-26,739.98,741.01,716.42,720.29,,,,
