Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-11,2.976,2.976,2.976,2.976,,,,
2026-06-12,3.004,3.004,3.004,3.004,,,,
2026-06-15,2.970,2.970,2.970,2.970,,,,
2026-06-16,2.934,2.934,2.934,2.934,,,,
2026-06-17,2.934,2.934,2.934,2.934,,,,
2026-06-18,2.939,2.939,2.939,2.939,,,,
2026-06-19,2.989,2.989,2.989,2.989,,,,
2026-06-22,2.953,2.953,2.953,2.953,,,,
2026-06-23,2.924,2.924,2.924,2.924,,,,
2026-06-24,2.868,2.868,2.868,2.868,,,,
2026-06-25,2.863,2.863,2.863,2.863,,,,
2026-06-26,2.856,2.856,2.856,2.856,,,,
2026-06-29,2.861,2.861,2.861,2.861,,,,
2026-06-30,2.924,2.924,2.924,2.924,,,,
2026-07-01,2.940,2.940,2.940,2.940,,,,
2026-07-02,2.917,2.917,2.917,2.917,,,,
2026-07-03,2.938,2.938,2.938,2.938,,,,
2026-07-06,2.943,2.943,2.943,2.943,,,,
2026-07-07,3.009,3.009,3.009,3.009,,,,
2026-07-08,3.082,3.082,3.082,3.082,,,,
2026-07-09,3.056,3.056,3.056,3.056,,,,
2026-07-10,3.038,3.038,3.038,3.038,,,,
2026-07-13,3.093,3.093,3.093,3.093,,,,
2026-07-14,3.088,3.088,3.088,3.088,,,,
2026-07-15,3.116,3.116,3.116,3.116,,,,
2026-07-16,3.135,3.135,3.135,3.135,,,,
2026-07-17,3.142,3.142,3.142,3.142,,,,
2026-07-20,3.159,3.159,3.159,3.159,,,,
2026-07-21,3.172,3.172,3.172,3.172,,,,
2026-07-22,3.184,3.184,3.184,3.184,,,,
2026-07-23,3.199,3.199,3.199,3.199,,,,
2026-07-24,3.183,3.183,3.183,3.183,,,,
2026-07-27,3.134,3.134,3.134,3.134,,,,
2026-07-28,3.116,3.116,3.116,3.116,,,,
2026-07-29,3.162,3.162,3.162,3.162,,,,
2026-07-30,3.153,3.153,3.153,3.153,,,,
2026-07-31,3.209,3.209,3.209,3.209,,,,
2026-08-03,3.150,3.150,3.150,3.150,,,,
2026-08-04,3.100,3.100,3.100,3.100,,,,
2026-08-05,3.104,3.104,3.104,3.104,,,,
2026-08-06,3.148,3.148,3.148,3.148,,,,
2026-08-07,3.126,3.126,3.126,3.126,,,,
2026-08-10,3.184,3.184,3.184,3.184,,,,
2026-08-11,3.165,3.165,3.165,3.165,,,,
2026-08-12,3.168,3.168,3.168,3.168,,,,
2026-08-13,3.134,3.134,3.134,3.134,,,,
2026-08-14,3.212,3.212,3.212,3.212,,,,
2026-08-17,3.234,3.234,3.234,3.234,,,,
2026-08-18,3.260,3.260,3.260,3.260,,,,
2026-08-19,3.259,3.259,3.259,3.259,,,,
