Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,1971.59,1984.83,1970.05,1984.83,,,,
2026-01-29,1957.86,2003.21,1954.28,2003.21,,,,2026-01-30,1997.61,1997.61,1978.31,1978.31,,,,
2026-01-30,1997.61,1997.61,1978.31,1978.31,,,,
2026-02-02,1991.77,1995.36,1975.56,1976.01,,,,
2026-02-03,1979.00,2001.80,1978.55,1995.11,,,,
2026-02-04,1996.29,2012.54,1984.82,2007.29,,,,
2026-02-05,2014.88,2015.35,2004.58,2009.47,,,,
2026-02-06,2010.92,2010.92,1992.29,1994.83,,,,
2026-02-09,2004.30,2011.70,1992.66,1999.51,,,,
2026-02-10,2004.23,2008.86,1997.93,2007.09,,,,
2026-02-12,1994.54,2002.88,1993.85,2000.15,,,,
2026-02-13,1999.57,2000.82,1975.73,1980.04,,,,
2026-02-16,1985.06,2004.62,1977.05,2004.62,,,,
2026-02-17,2000.05,2000.05,1980.37,1989.45,,,,
2026-02-18,1986.63,2010.65,1985.38,2008.39,,,,
2026-02-19,2005.44,2005.44,1988.33,1995.43,,,,
2026-02-20,1996.50,2005.08,1995.94,2001.34,,,,
2026-02-24,2010.16,2024.46,2002.17,2019.53,,,,
2026-02-25,2021.97,2035.90,2018.18,2035.90,,,,
2026-02-26,2019.80,2034.76,2015.54,2029.44,,,,
2026-02-27,2029.13,2029.13,1999.33,1999.33,,,,
2026-03-02,1992.13,2011.53,1986.82,2010.38,,,,
