Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,4099.17,4101.15,4065.03,4076.45,,,,
2026-01-29,4068.40,4089.21,4036.22,4079.68,,,,2026-01-30,4089.21,4101.62,4065.00,4094.41,,,,
2026-02-02,4114.36,4150.17,4065.42,4065.80,,,,
2026-02-03,4094.43,4158.28,4094.29,4155.18,,,,
2026-02-04,4156.71,4196.59,4150.05,4185.35,,,,
2026-02-05,4211.06,4237.06,4202.09,4217.80,,,,
2026-02-06,4205.09,4236.16,4177.67,4236.16,,,,
2026-02-09,4292.70,4321.82,4279.16,4312.36,,,,
2026-02-10,4331.76,4390.30,4331.76,4385.92,,,,
2026-02-12,4391.72,4464.28,4391.72,4459.12,,,,
2026-02-13,4448.18,4451.19,4349.56,4361.47,,,,
2026-02-16,4372.66,4385.85,4354.35,4382.60,,,,
2026-02-17,4371.23,4405.01,4356.76,4369.23,,,,
2026-02-18,4396.23,4427.26,4396.23,4420.04,,,,
2026-02-19,4427.21,4465.73,4414.92,4462.82,,,,
2026-02-20,4427.39,4443.19,4412.04,4430.76,,,,
2026-02-24,4443.72,4486.27,4415.04,4473.37,,,,
2026-02-25,4484.50,4513.16,4465.43,4497.34,,,,
2026-02-26,4516.37,4527.74,4492.64,4503.07,,,,
2026-02-27,4508.25,4599.98,4501.19,4599.98,,,,
2026-03-02,4530.90,4575.96,4483.94,4564.88,,,,
2026-03-03,4525.64,4553.82,4415.44,4420.41,,,,
2026-03-04,4352.12,4355.72,4169.56,4231.10,,,,
2026-03-05,4305.05,4420.32,4305.05,4365.35,,,,
2026-03-06,4314.11,4369.33,4287.92,4362.67,,,,
2026-03-09,4277.25,4277.25,4102.56,4195.59,,,,
2026-03-10,4247.05,4330.83,4247.05,4299.49,,,,
2026-03-11,4341.68,4382.10,4336.20,4336.20,,,,
2026-03-12,4297.88,4297.88,4223.24,4239.15,,,,
2026-03-13,4193.63,4251.15,4192.34,4226.85,,,,
2026-03-16,4219.30,4251.22,4196.72,4223.70,,,,
2026-03-17,4261.67,4287.26,4216.98,4224.03,,,,
2026-03-18,4261.82,4331.15,4259.18,4331.15,,,,
2026-03-19,4269.95,4269.95,4196.91,4196.91,,,,
2026-03-23,4129.60,4129.60,4022.55,4051.49,,,,
2026-03-24,4121.83,4168.45,4111.99,4148.05,,,,
2026-03-25,4206.82,4264.62,4206.82,4256.80,,,,
2026-03-26,4264.34,4269.38,4194.42,4235.55,,,,
