Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,4010.04,4016.41,3956.70,3956.70,,,,
2026-01-29,4064.32,4078.57,3883.11,3883.11,,,,2026-01-30,3904.86,3979.41,3904.86,3979.41,,,,
2026-02-02,3925.29,3990.55,3910.96,3988.96,,,,
2026-02-03,3976.99,3978.59,3884.45,3911.57,,,,
2026-02-04,3906.88,3952.25,3843.51,3863.85,,,,
2026-02-05,3834.48,3874.67,3832.94,3855.35,,,,
2026-02-06,3849.95,3920.89,3849.95,3911.64,,,,
2026-02-09,3874.87,3920.25,3845.14,3893.65,,,,
2026-02-10,3874.96,3899.88,3857.05,3864.06,,,,
2026-02-12,3912.75,3915.07,3880.29,3891.11,,,,
2026-02-13,3893.44,3986.05,3888.78,3969.71,,,,
2026-02-16,3949.86,3981.62,3871.26,3871.26,,,,
2026-02-17,3889.07,3964.94,3889.07,3930.10,,,,
2026-02-18,3941.10,3945.82,3846.00,3855.43,,,,
2026-02-19,3867.00,3932.54,3867.00,3905.55,,,,
2026-02-20,3901.64,3903.21,3868.06,3882.12,,,,
2026-02-24,3847.96,3879.01,3792.05,3811.47,,,,
2026-02-25,3802.32,3816.81,3749.72,3749.72,,,,
2026-02-26,3808.97,3824.71,3754.22,3773.72,,,,
2026-02-27,3775.23,3885.42,3775.23,3885.42,,,,
2026-03-02,3913.40,3934.38,3838.02,3842.68,,,,
2026-03-03,3921.84,3964.88,3919.53,3964.88,,,,
2026-03-04,4014.84,4083.83,4010.08,4073.52,,,,
2026-03-05,3974.94,3974.94,3898.36,3948.87,,,,
2026-03-06,3987.57,4029.43,3961.51,4019.16,,,,
2026-03-09,4126.87,4148.58,4032.02,4065.78,,,,
2026-03-10,4052.77,4069.03,4012.92,4050.33,,,,
2026-03-11,4038.99,4064.10,3942.59,3976.61,,,,
2026-03-12,4019.56,4052.17,4010.81,4031.49,,,,
2026-03-13,4055.68,4078.26,3981.50,4068.58,,,,
2026-03-16,4087.30,4101.94,3979.07,4006.74,,,,
2026-03-17,3973.88,3992.32,3946.64,3956.26,,,,
2026-03-18,3957.05,3968.92,3923.03,3923.03,,,,
2026-03-19,3966.18,4050.92,3955.98,4050.92,,,,
2026-03-23,4160.29,4256.71,4153.81,4217.01,,,,
2026-03-24,4150.38,4226.29,4111.58,4226.29,,,,
2026-03-25,4151.06,4175.57,4122.32,4152.75,,,,
2026-03-26,4176.01,4254.08,4167.70,4217.53,,,,
2026-03-27,4219.22,4269.83,4201.50,4237.77,,,,
2026-03-30,4384.40,4451.35,4362.36,4451.35,,,,
2026-03-31,4451.35,4511.89,4425.53,4511.89,,,,
2026-04-01,4404.51,4409.02,4296.22,4296.22,,,,
2026-04-02,4279.04,4389.88,4195.69,4379.57,,,,
2026-04-03,4368.18,4376.94,4277.09,4285.85,,,,
2026-04-06,4297.85,4297.85,4228.42,4258.42,,,,
2026-04-07,4242.24,4270.34,4179.21,4268.64,,,,
2026-04-08,4176.44,4213.15,4090.21,4090.21,,,,
2026-04-09,4125.39,4208.01,4081.21,4190.01,,,,
2026-04-10,4200.90,4226.04,4183.31,4183.31,,,,
2026-04-13,4230.16,4236.86,4176.62,4192.51,,,,
2026-04-14,4149.75,4149.75,4089.37,4098.60,,,,
2026-04-15,4069.09,4114.17,4057.61,4114.17,,,,
2026-04-16,4088.66,4144.61,4068.09,4068.09,,,,
2026-04-17,4089.24,4143.76,4073.79,4130.74,,,,
2026-04-20,4108.43,4138.18,4094.39,4134.87,,,,
2026-04-21,4117.50,4185.32,4115.85,4176.22,,,,
2026-04-22,4187.08,4256.40,4187.08,4256.40,,,,
2026-04-23,4269.17,4297.26,4212.98,4241.93,,,,
2026-04-24,4224.96,4261.44,4215.63,4241.93,,,,
2026-04-27,4239.38,4258.05,4211.39,4235.99,,,,
2026-04-28,4254.63,4349.51,4254.63,4345.28,,,,
2026-04-30,4364.40,4378.30,4336.59,4337.46,,,,
2026-05-01,4352.21,4387.77,4322.71,4363.48,,,,
2026-05-07,4308.50,4385.30,4285.81,4341.66,,,,
2026-05-08,4350.34,4445.86,4345.13,4438.91,,,,
2026-05-11,4422.04,4459.33,4395.41,4443.35,,,,
2026-05-12,4425.58,4518.89,4422.02,4500.22,,,,
2026-05-13,4507.42,4570.42,4507.42,4556.92,,,,
2026-05-14,4549.63,4597.93,4531.40,4561.48,,,,
2026-05-15,4570.60,4577.90,4503.09,4533.20,,,,
2026-05-18,4555.87,4711.81,4555.87,4653.78,,,,
2026-05-19,4652.85,4662.16,4580.25,4580.25,,,,
2026-05-20,4555.52,4716.74,4554.60,4691.09,,,,
2026-05-21,4646.99,4692.97,4628.23,4637.61,,,,
2026-05-22,4663.58,4730.36,4662.65,4712.74,,,,
2026-05-25,4727.82,4735.36,4685.41,4724.99,,,,
2026-05-27,4697.46,4736.32,4669.97,4669.97,,,,
2026-05-28,4784.85,4802.60,4728.81,4730.68,,,,
2026-05-29,4702.30,4750.55,4599.17,4671.07,,,,
2026-06-01,4670.14,4823.35,4670.14,4814.00,,,,
