Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,2480.25,2484.60,2453.81,2453.81,,,,
2026-01-29,2438.51,2462.06,2427.09,2461.72,,,,2026-01-30,2474.59,2484.83,2462.96,2483.50,,,,
2026-02-02,2518.39,2526.08,2504.96,2507.10,,,,
2026-02-03,2504.82,2537.35,2503.46,2533.14,,,,
2026-02-04,2533.32,2563.55,2523.76,2555.74,,,,
2026-02-05,2591.74,2604.74,2579.51,2595.05,,,,
2026-02-06,2615.19,2655.35,2606.45,2655.35,,,,
2026-02-09,2674.31,2701.42,2667.69,2697.52,,,,
2026-02-10,2682.22,2710.61,2681.81,2682.51,,,,
2026-02-12,2689.49,2719.44,2680.11,2701.03,,,,
2026-02-13,2697.93,2715.82,2673.72,2711.77,,,,
2026-02-16,2715.71,2740.63,2708.83,2711.27,,,,
2026-02-17,2703.32,2703.32,2684.55,2699.64,,,,
2026-02-18,2704.65,2722.41,2701.24,2710.83,,,,
2026-02-19,2705.15,2723.98,2687.14,2714.56,,,,
2026-02-20,2704.49,2708.17,2691.02,2703.98,,,,
2026-02-24,2723.22,2742.79,2708.73,2734.94,,,,
2026-02-25,2747.43,2769.52,2737.08,2769.52,,,,
2026-02-26,2771.35,2786.48,2750.89,2752.20,,,,
2026-02-27,2753.71,2782.18,2752.13,2779.20,,,,
2026-03-02,2751.36,2784.51,2745.81,2770.96,,,,
2026-03-03,2737.54,2742.14,2697.73,2699.91,,,,
2026-03-04,2665.27,2665.27,2628.34,2648.71,,,,
2026-03-05,2684.87,2707.33,2638.98,2638.98,,,,
2026-03-06,2629.36,2653.62,2615.91,2647.42,,,,
2026-03-09,2603.98,2628.89,2583.29,2619.04,,,,
2026-03-10,2637.62,2648.85,2613.31,2624.15,,,,
2026-03-11,2646.11,2655.70,2630.62,2635.19,,,,
2026-03-12,2607.36,2607.36,2573.29,2585.54,,,,
2026-03-13,2576.19,2603.38,2575.33,2593.09,,,,
2026-03-16,2606.54,2617.39,2597.06,2612.94,,,,
2026-03-17,2622.60,2640.50,2622.60,2629.60,,,,
2026-03-18,2632.09,2665.91,2625.64,2665.91,,,,
