Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,25518.91,25588.92,25373.25,25472.31,,,,
2026-01-29,25355.00,25738.25,25229.48,25653.65,,,,2026-01-30,25817.91,25918.39,25576.80,25873.98,,,,
2026-02-02,26179.15,26436.82,25723.10,25766.94,,,,
2026-02-03,26113.62,26600.59,26113.62,26569.56,,,,
2026-02-04,26612.87,26936.33,26465.65,26905.63,,,,
2026-02-05,27059.05,27209.67,26794.90,27000.23,,,,
2026-02-06,26941.47,27507.02,26804.97,27507.02,,,,
2026-02-09,27952.16,28530.53,27916.72,28192.99,,,,
2026-02-10,28381.46,28875.44,28347.23,28806.75,,,,
2026-02-12,28802.47,29354.65,28791.16,29325.52,,,,
2026-02-13,29216.95,29278.58,28869.31,28946.46,,,,
2026-02-16,28965.17,29013.96,28514.33,28581.38,,,,
2026-02-17,28529.43,28642.99,28212.09,28366.04,,,,
2026-02-18,28517.03,28768.96,28517.03,28670.70,,,,
2026-02-19,28807.24,29106.39,28721.00,29047.92,,,,
2026-02-20,28759.94,28807.21,28566.27,28657.39,,,,
2026-02-24,28686.08,28899.18,28617.48,28830.18,,,,
2026-02-25,28907.26,29251.18,28720.88,29111.70,,,,
2026-02-26,29420.80,29564.97,29269.33,29304.87,,,,
2026-02-27,29259.23,29938.41,29259.23,29897.48,,,,
2026-03-02,29505.19,29953.23,29200.89,29953.23,,,,
2026-03-03,29635.94,29803.42,28790.97,28850.33,,,,
2026-03-04,28454.09,28454.09,27341.32,27617.09,,,,
2026-03-05,28105.30,28752.92,27964.82,28129.50,,,,
2026-03-06,27802.81,28242.38,27666.88,28189.22,,,,
2026-03-09,27661.06,27671.23,26467.85,27126.38,,,,
2026-03-10,27467.36,28098.19,27467.36,27875.73,,,,
2026-03-11,28259.74,28475.80,28131.73,28172.82,,,,
2026-03-12,27845.61,27985.54,27566.61,27877.78,,,,
2026-03-13,27440.26,28036.07,27387.10,27827.49,,,,
2026-03-16,27814.95,27945.62,27480.39,27675.15,,,,
2026-03-17,27984.03,28246.61,27794.89,27918.28,,,,
2026-03-18,28152.08,28829.45,28135.92,28808.26,,,,
2026-03-19,28357.93,28398.55,27744.89,27744.89,,,,
2026-03-23,27273.43,27275.75,26323.62,26659.69,,,,
2026-03-24,27130.50,27374.72,26988.16,27261.88,,,,
2026-03-25,27725.95,28032.07,27725.04,27888.04,,,,
2026-03-26,28044.77,28197.51,27741.33,28003.15,,,,
2026-03-27,27879.36,28219.79,27659.58,28131.22,,,,
2026-03-30,27393.95,27446.79,26866.21,27389.77,,,,
2026-03-31,27141.98,27520.66,26841.58,26875.61,,,,
2026-04-01,27334.88,28134.82,27314.94,28134.82,,,,
2026-04-02,28364.63,28577.75,27656.97,27727.87,,,,
2026-04-03,27977.82,28173.63,27875.75,28029.16,,,,
2026-04-06,28008.42,28196.93,27887.27,27889.52,,,,
2026-04-07,27990.54,28212.39,27825.71,27958.57,,,,
2026-04-08,28435.94,28884.60,28432.20,28666.61,,,,
2026-04-09,28718.46,28867.90,28431.92,28478.47,,,,
2026-04-10,28578.34,28614.89,28321.75,28366.89,,,,
2026-04-13,28226.32,28510.05,28092.68,28222.23,,,,
2026-04-14,28448.96,28449.48,28255.98,28318.01,,,,
2026-04-15,28482.80,28518.45,28132.79,28142.06,,,,
2026-04-16,28206.14,28445.85,28206.14,28371.43,,,,
