Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-11,6007.66,6007.66,6007.66,6007.66,,,,
2026-06-15,6254.97,6254.97,6254.97,6254.97,,,,
2026-06-16,6254.97,6254.97,6254.97,6254.97,,,,
2026-06-17,6220.74,6220.74,6220.74,6220.74,,,,
2026-06-18,6172.34,6172.34,6172.34,6172.34,,,,
2026-06-19,6177.14,6177.14,6177.14,6177.14,,,,
2026-06-22,6116.69,6116.69,6116.69,6116.69,,,,
2026-06-23,6101.33,6101.33,6101.33,6101.33,,,,
2026-06-24,5883.88,5883.88,5883.88,5883.88,,,,
2026-06-25,5999.04,5999.04,5999.04,5999.04,,,,
2026-06-26,5896.13,5896.13,5896.13,5896.13,,,,
2026-06-29,5820.79,5820.79,5820.79,5820.79,,,,
2026-06-30,5643.19,5643.19,5643.19,5643.19,,,,
2026-07-01,5695.12,5695.12,5695.12,5695.12,,,,
2026-07-02,5744.56,5744.56,5744.56,5744.56,,,,
2026-07-03,5875.78,5875.78,5875.78,5875.78,,,,
