Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-11,6007.66,6007.66,6007.66,6007.66,,,,
2026-06-15,6254.97,6254.97,6254.97,6254.97,,,,
2026-06-16,6254.97,6254.97,6254.97,6254.97,,,,
2026-06-17,6220.74,6220.74,6220.74,6220.74,,,,
2026-06-18,6172.34,6172.34,6172.34,6172.34,,,,
2026-06-19,6177.14,6177.14,6177.14,6177.14,,,,
2026-06-22,6116.69,6116.69,6116.69,6116.69,,,,
2026-06-23,6101.33,6101.33,6101.33,6101.33,,,,
2026-06-24,5883.88,5883.88,5883.88,5883.88,,,,
2026-06-25,5999.04,5999.04,5999.04,5999.04,,,,
2026-06-26,5896.13,5896.13,5896.13,5896.13,,,,
2026-06-29,5820.79,5820.79,5820.79,5820.79,,,,
2026-06-30,5643.19,5643.19,5643.19,5643.19,,,,
2026-07-01,5695.12,5695.12,5695.12,5695.12,,,,
2026-07-02,5744.56,5744.56,5744.56,5744.56,,,,
2026-07-03,5875.78,5875.78,5875.78,5875.78,,,,
2026-07-06,5916.07,5916.07,5916.07,5916.07,,,,
2026-07-07,5986.50,5986.50,5986.50,5986.50,,,,
2026-07-08,5873.37,5873.37,5873.37,5873.37,,,,
2026-07-09,5912.44,5912.44,5912.44,5912.44,,,,
2026-07-10,5924.36,5924.36,5924.36,5924.36,,,,
2026-07-13,6037.84,6037.84,6037.84,6037.84,,,,
2026-07-14,6039.52,6039.52,6039.52,6039.52,,,,
2026-07-15,6041.97,6041.97,6041.97,6041.97,,,,
2026-07-16,6108.21,6108.21,6108.21,6108.21,,,,
2026-07-17,6175.54,6175.54,6175.54,6175.54,,,,
2026-07-20,6231.78,6231.78,6231.78,6231.78,,,,
2026-07-21,6340.02,6340.02,6340.02,6340.02,,,,
2026-07-22,6334.48,6334.48,6334.48,6334.48,,,,
2026-07-23,6315.31,6315.31,6315.31,6315.31,,,,
2026-07-24,6196.43,6196.43,6196.43,6196.43,,,,
2026-07-27,6185.78,6185.78,6185.78,6185.78,,,,
2026-07-28,6130.59,6130.59,6130.59,6130.59,,,,
2026-07-29,6091.39,6091.39,6091.39,6091.39,,,,
2026-07-30,6186.36,6186.36,6186.36,6186.36,,,,
2026-07-31,6236.13,6236.13,6236.13,6236.13,,,,
2026-08-03,6234.50,6234.50,6234.50,6234.50,,,,
2026-08-04,6319.61,6319.61,6319.61,6319.61,,,,
2026-08-05,6351.14,6351.14,6351.14,6351.14,,,,
2026-08-06,6343.71,6343.71,6343.71,6343.71,,,,
2026-08-07,6409.65,6409.65,6409.65,6409.65,,,,
2026-08-10,6365.37,6365.37,6365.37,6365.37,,,,
2026-08-11,6267.88,6267.88,6267.88,6267.88,,,,
2026-08-12,6373.85,6373.85,6373.85,6373.85,,,,
2026-08-13,6301.76,6301.76,6301.76,6301.76,,,,
2026-08-14,6401.89,6401.89,6401.89,6401.89,,,,
2026-08-17,6401.89,6401.89,6401.89,6401.89,,,,
2026-08-18,6449.83,6449.83,6449.83,6449.83,,,,
2026-08-19,6394.12,6394.12,6394.12,6394.12,,,,
2026-08-20,6501.58,6501.58,6501.58,6501.58,,,,
2026-08-21,6525.69,6525.69,6525.69,6525.69,,,,
2026-08-24,6501.67,6501.67,6501.67,6501.67,,,,
2026-08-25,6501.67,6501.67,6501.67,6501.67,,,,
2026-08-26,6402.49,6402.49,6402.49,6402.49,,,,
