Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,2701.25,2703.14,2635.64,2637.23,,,,
2026-01-29,2624.05,2656.59,2612.06,2648.84,,,,2026-01-30,2663.49,2694.88,2649.84,2693.34,,,,
2026-02-02,2725.14,2752.90,2686.99,2693.76,,,,
2026-02-03,2712.21,2741.37,2705.74,2740.65,,,,
2026-02-04,2741.62,2798.34,2739.43,2788.81,,,,
2026-02-05,2818.24,2838.68,2777.94,2785.65,,,,
2026-02-06,2759.34,2786.09,2735.31,2783.21,,,,
2026-02-09,2824.24,2858.94,2822.20,2841.13,,,,
2026-02-10,2865.49,2889.02,2859.16,2876.06,,,,
2026-02-12,2881.45,2949.39,2881.45,2949.39,,,,
2026-02-13,2937.25,2937.25,2896.37,2910.60,,,,
