Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,820.24,822.43,811.83,814.99,,,,
2026-01-29,811.58,823.40,803.44,821.16,,,,2026-01-30,825.73,826.57,810.73,819.43,,,,
2026-02-02,824.46,837.59,812.15,815.86,,,,
2026-02-03,828.46,840.12,828.35,839.38,,,,
2026-02-04,843.86,858.70,839.91,857.94,,,,
2026-02-05,865.30,871.96,819.58,848.83,,,,
2026-02-06,840.01,862.91,828.10,861.93,,,,
2026-02-09,871.18,878.30,857.95,861.20,,,,
2026-02-10,865.63,875.89,865.20,875.89,,,,
2026-02-12,881.80,889.90,878.51,889.54,,,,
2026-02-13,886.09,886.09,837.48,839.21,,,,
2026-02-16,850.25,864.57,849.19,857.25,,,,
2026-02-17,857.75,867.99,853.69,856.06,,,,
2026-02-18,860.67,877.18,858.67,870.50,,,,
2026-02-19,871.56,876.63,866.14,873.83,,,,
2026-02-20,866.88,868.50,857.12,862.85,,,,
2026-02-24,860.60,861.57,846.63,855.31,,,,
2026-02-25,848.58,848.58,823.91,829.94,,,,
2026-02-26,835.79,839.77,827.94,827.94,,,,
2026-02-27,827.92,848.01,825.72,846.63,,,,
2026-03-02,836.92,840.36,827.11,838.08,,,,
2026-03-03,830.55,843.52,812.18,814.59,,,,
2026-03-04,803.11,804.32,773.27,783.85,,,,
2026-03-05,799.00,809.00,789.85,789.85,,,,
2026-03-06,781.44,791.43,779.67,789.80,,,,
2026-03-09,773.13,773.17,751.21,765.95,,,,
2026-03-10,774.50,786.83,774.50,783.43,,,,
2026-03-11,795.39,802.17,791.56,794.35,,,,
2026-03-12,785.83,787.48,777.07,783.31,,,,
2026-03-13,771.31,782.20,769.90,770.66,,,,
2026-03-16,766.92,769.32,758.46,760.38,,,,
2026-03-17,768.65,776.33,767.65,769.46,,,,
2026-03-18,780.59,789.16,778.39,789.16,,,,
2026-03-19,775.30,779.50,766.77,766.77,,,,
2026-03-23,757.15,757.30,744.39,751.79,,,,
2026-03-24,766.21,768.94,758.08,764.59,,,,
2026-03-25,776.89,777.23,768.69,768.69,,,,
2026-03-26,771.91,774.44,759.60,767.53,,,,
2026-03-27,769.10,774.35,764.31,771.13,,,,
2026-03-30,741.24,744.48,732.68,742.00,,,,
2026-03-31,740.49,752.09,737.22,740.56,,,,
2026-04-01,754.83,762.93,750.52,762.93,,,,
2026-04-02,762.67,768.56,747.81,750.55,,,,
2026-04-03,755.92,762.44,754.97,756.61,,,,
2026-04-06,756.04,761.18,753.67,754.15,,,,
2026-04-07,755.44,760.15,751.76,752.50,,,,
2026-04-08,765.25,774.60,763.35,772.19,,,,
2026-04-09,775.75,775.99,767.64,770.60,,,,
2026-04-10,771.38,774.48,764.33,766.38,,,,
2026-04-13,761.54,766.52,756.24,759.39,,,,
2026-04-14,766.06,766.68,756.52,759.30,,,,
2026-04-15,761.45,764.64,757.37,759.68,,,,
2026-04-16,760.59,763.83,759.18,762.61,,,,
2026-04-17,756.77,758.15,752.81,755.31,,,,
2026-04-20,759.24,759.67,754.68,756.70,,,,
