Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,820.24,822.43,811.83,814.99,,,,
2026-01-29,811.58,823.40,803.44,821.16,,,,2026-01-30,825.73,826.57,810.73,819.43,,,,
2026-02-02,824.46,837.59,812.15,815.86,,,,
2026-02-03,828.46,840.12,828.35,839.38,,,,
2026-02-04,843.86,858.70,839.91,857.94,,,,
2026-02-05,865.30,871.96,819.58,848.83,,,,
2026-02-06,840.01,862.91,828.10,861.93,,,,
2026-02-09,871.18,878.30,857.95,861.20,,,,
2026-02-10,865.63,875.89,865.20,875.89,,,,
2026-02-12,881.80,889.90,878.51,889.54,,,,
2026-02-13,886.09,886.09,837.48,839.21,,,,
2026-02-16,850.25,864.57,849.19,857.25,,,,
2026-02-17,857.75,867.99,853.69,856.06,,,,
2026-02-18,860.67,877.18,858.67,870.50,,,,
2026-02-19,871.56,876.63,866.14,873.83,,,,
2026-02-20,866.88,868.50,857.12,862.85,,,,
2026-02-24,860.60,861.57,846.63,855.31,,,,
2026-02-25,848.58,848.58,823.91,829.94,,,,
2026-02-26,835.79,839.77,827.94,827.94,,,,
2026-02-27,827.92,848.01,825.72,846.63,,,,
2026-03-02,836.92,840.36,827.11,838.08,,,,
2026-03-03,830.55,843.52,812.18,814.59,,,,
