Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-03-09,938.31,938.63,910.14,936.95,,,,
2026-03-10,942.78,952.23,933.53,948.98,,,,
2026-03-11,948.86,958.42,946.91,948.56,,,,
2026-03-12,939.12,939.85,916.11,922.35,,,,
2026-03-13,915.01,926.05,912.24,917.91,,,,
2026-03-16,914.00,923.36,904.44,909.48,,,,
2026-03-17,914.67,919.09,900.73,903.26,,,,
2026-03-18,907.38,918.08,903.99,918.08,,,,
2026-03-19,907.23,913.03,890.03,890.03,,,,
2026-03-23,879.21,879.38,856.11,858.42,,,,
2026-03-24,872.79,879.08,863.25,877.50,,,,
2026-03-25,881.07,901.07,881.01,899.81,,,,
2026-03-26,897.15,898.03,877.69,884.07,,,,
