Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,762.35,763.64,752.46,752.86,,,,
2026-01-29,747.92,753.94,741.92,753.76,,,,2026-01-30,756.20,761.63,753.29,760.22,,,,
2026-02-02,767.74,769.95,759.43,760.71,,,,
2026-02-03,762.43,771.21,761.33,771.17,,,,
2026-02-04,773.68,789.94,771.30,784.34,,,,
2026-02-05,792.23,792.72,783.26,786.82,,,,
2026-02-06,783.70,825.94,776.13,805.82,,,,
2026-02-09,812.51,831.82,810.29,827.06,,,,
2026-02-10,818.71,826.93,811.81,823.10,,,,
2026-02-12,828.38,849.68,828.38,844.56,,,,
2026-02-13,847.67,847.67,834.22,843.59,,,,
2026-02-16,843.11,845.32,837.19,838.51,,,,
2026-02-17,837.63,841.59,833.09,834.54,,,,
2026-02-18,832.44,837.58,830.24,832.89,,,,
2026-02-19,828.81,842.04,820.77,841.61,,,,
2026-02-20,834.34,835.08,820.04,824.41,,,,
2026-02-24,830.20,843.23,823.71,840.48,,,,
2026-02-25,841.95,842.94,833.99,841.53,,,,
2026-02-26,845.82,849.39,842.16,842.27,,,,
2026-02-27,845.97,864.85,845.37,863.71,,,,
2026-03-02,848.44,867.31,847.55,863.63,,,,
2026-03-03,849.61,852.08,830.67,833.44,,,,
2026-03-04,818.86,818.86,796.72,808.96,,,,
2026-03-05,823.14,830.51,816.14,820.01,,,,
2026-03-06,807.45,816.00,801.22,814.70,,,,
2026-03-09,797.55,800.59,783.94,796.37,,,,
2026-03-10,809.35,811.42,801.13,805.31,,,,
2026-03-11,811.17,815.06,803.44,804.28,,,,
2026-03-12,798.36,798.36,779.20,781.98,,,,
2026-03-13,778.27,786.78,778.11,784.59,,,,
2026-03-16,788.17,795.84,786.22,793.75,,,,
2026-03-17,796.15,806.65,796.15,800.23,,,,
2026-03-18,805.27,817.49,803.60,817.49,,,,
2026-03-19,806.68,808.65,800.55,801.07,,,,
2026-03-23,787.21,789.63,775.68,778.66,,,,
2026-03-24,791.30,796.93,788.61,795.57,,,,
2026-03-25,805.96,808.21,801.80,802.28,,,,
2026-03-26,800.83,803.49,795.40,802.98,,,,
2026-03-27,803.42,809.32,800.53,805.25,,,,
2026-03-30,779.82,786.26,767.14,784.65,,,,
