Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,901.35,908.82,900.02,905.00,,,,
2026-01-29,901.90,911.55,899.67,907.20,,,,2026-01-30,912.45,921.25,909.25,918.96,,,,
2026-02-02,929.18,937.87,915.35,915.61,,,,
2026-02-03,923.66,943.38,923.55,943.21,,,,
2026-02-04,949.04,975.46,949.04,970.94,,,,
2026-02-05,987.09,991.54,972.18,972.18,,,,
2026-02-06,965.30,974.38,956.48,972.74,,,,
2026-02-09,989.38,995.76,983.21,986.41,,,,
2026-02-10,991.70,1003.26,968.58,993.67,,,,
2026-02-12,987.46,993.73,977.75,991.00,,,,
2026-02-13,986.75,993.75,973.67,992.93,,,,
2026-02-16,997.63,1001.51,988.64,993.40,,,,
2026-02-17,996.43,1022.39,996.43,1017.93,,,,
2026-02-18,1023.90,1030.09,1020.92,1028.32,,,,
