Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,4643.23,4650.70,4622.35,4629.81,,,,
2026-01-29,4611.46,4640.80,4591.38,4628.56,,,,2026-01-30,4661.61,4661.61,4630.05,4642.51,,,,
2026-02-02,4672.39,4682.31,4599.15,4603.03,,,,
2026-02-03,4607.78,4675.55,4607.78,4672.06,,,,
2026-02-04,4671.94,4687.57,4652.23,4676.30,,,,
2026-02-05,4721.75,4729.79,4704.33,4713.29,,,,
2026-02-06,4711.08,4712.05,4681.10,4703.99,,,,
2026-02-09,4786.34,4873.19,4771.09,4831.79,,,,
2026-02-10,4836.77,4900.24,4829.01,4874.96,,,,
2026-02-12,4896.20,4936.95,4896.20,4899.75,,,,
2026-02-13,4902.44,4907.54,4798.55,4813.24,,,,
2026-02-16,4845.75,4853.11,4781.30,4816.43,,,,
2026-02-17,4802.93,4817.50,4736.37,4745.19,,,,
2026-02-18,4778.42,4800.83,4771.10,4771.10,,,,
2026-02-19,4775.86,4833.72,4763.71,4833.72,,,,
2026-02-20,4808.10,4820.30,4776.37,4780.37,,,,
