Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,1486.82,1494.24,1480.03,1489.13,,,,
2026-01-29,1484.49,1492.00,1474.28,1487.44,,,,
2026-01-30,1492.31,1498.92,1481.85,1495.57,,,,
2026-02-02,1507.92,1522.06,1483.53,1484.37,,,,
2026-02-03,1501.58,1531.45,1500.54,1528.40,,,,
2026-02-04,1518.85,1520.59,1508.42,1518.35,,,,
2026-02-05,1518.11,1524.59,1507.40,1513.60,,,,
2026-02-06,1506.42,1531.36,1494.98,1531.36,,,,
2026-02-09,1554.56,1590.18,1552.75,1572.68,,,,
2026-02-10,1585.61,1608.47,1585.41,1603.32,,,,
2026-02-12,1602.63,1612.50,1600.76,1607.70,,,,
2026-02-13,1598.56,1603.54,1579.98,1581.56,,,,
2026-02-16,1584.23,1586.02,1569.34,1572.69,,,,
2026-02-17,1569.36,1571.14,1549.01,1557.09,,,,
2026-02-18,1565.04,1578.63,1565.04,1574.71,,,,
2026-02-19,1581.45,1592.69,1577.76,1588.42,,,,
2026-02-20,1576.75,1576.75,1568.37,1572.36,,,,
2026-02-24,1569.71,1577.51,1565.16,1571.76,,,,
2026-02-25,1579.60,1597.21,1573.83,1589.05,,,,
2026-02-26,1603.07,1618.15,1602.45,1608.23,,,,
2026-02-27,1609.13,1629.26,1608.67,1627.73,,,,
2026-03-02,1605.01,1612.54,1583.67,1605.57,,,,
2026-03-03,1591.58,1594.53,1553.36,1556.51,,,,
2026-03-04,1536.78,1540.70,1492.68,1508.98,,,,
2026-03-05,1534.09,1567.12,1528.92,1536.74,,,,
2026-03-06,1523.71,1547.77,1520.14,1546.16,,,,
2026-03-09,1518.66,1518.70,1454.99,1490.63,,,,
2026-03-10,1510.14,1537.07,1508.00,1526.37,,,,
2026-03-11,1542.20,1555.42,1536.47,1538.31,,,,
2026-03-12,1521.41,1529.70,1509.94,1525.46,,,,
2026-03-13,1503.29,1525.10,1498.23,1517.62,,,,
2026-03-16,1513.53,1521.95,1501.01,1512.01,,,,
2026-03-17,1527.71,1536.21,1513.02,1518.99,,,,
2026-03-18,1528.55,1555.23,1528.55,1554.88,,,,
2026-03-19,1529.15,1531.37,1509.83,1509.83,,,,
2026-03-23,1486.02,1486.76,1441.43,1458.75,,,,
2026-03-24,1482.22,1494.07,1472.80,1487.06,,,,
2026-03-25,1507.37,1528.03,1507.24,1523.60,,,,
2026-03-26,1525.00,1532.72,1505.64,1517.99,,,,
2026-03-27,1510.91,1525.99,1499.84,1519.74,,,,
2026-03-30,1482.64,1482.64,1449.92,1478.40,,,,
2026-03-31,1467.77,1492.37,1452.92,1459.72,,,,
2026-04-01,1483.57,1529.38,1482.18,1529.38,,,,
2026-04-02,1539.31,1548.71,1500.50,1505.42,,,,
2026-04-03,1518.34,1527.67,1512.91,1519.03,,,,
2026-04-06,1520.33,1534.50,1517.43,1517.84,,,,
2026-04-07,1524.07,1534.99,1514.42,1521.48,,,,
2026-04-08,1547.28,1572.91,1547.15,1567.48,,,,
2026-04-09,1566.83,1570.53,1549.14,1551.37,,,,
