Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,5147.26,5147.26,5094.53,5095.18,,,,
2026-01-29,5103.60,5235.86,5079.35,5210.63,,,,2026-01-30,5238.96,5309.92,5222.63,5285.36,,,,
2026-02-02,5384.18,5441.57,5292.81,5314.57,,,,
2026-02-03,5387.71,5400.20,5340.65,5377.82,,,,
2026-02-04,5427.68,5540.89,5412.92,5520.65,,,,
2026-02-05,5612.70,5632.44,5498.08,5525.18,,,,
2026-02-06,5506.24,5647.43,5491.43,5646.44,,,,
2026-02-09,5738.25,5848.15,5586.57,5586.62,,,,
2026-02-10,5595.80,5680.59,5564.30,5640.48,,,,
2026-02-12,5605.40,5611.97,5525.32,5607.52,,,,
2026-02-13,5641.83,5692.69,5631.29,5691.24,,,,
2026-02-16,5672.06,5680.05,5575.52,5575.52,,,,
2026-02-17,5588.04,5646.48,5587.72,5619.61,,,,
2026-02-18,5668.18,5693.92,5632.41,5648.49,,,,
2026-02-19,5641.51,5718.40,5610.30,5703.17,,,,
2026-02-20,5608.67,5608.67,5495.93,5530.29,,,,
2026-02-24,5541.12,5569.75,5504.41,5528.62,,,,
2026-02-25,5566.97,5631.58,5549.25,5593.84,,,,
2026-02-26,5642.34,5701.45,5641.07,5651.09,,,,
2026-02-27,5613.61,5731.15,5603.66,5731.15,,,,
2026-03-02,5631.60,5791.66,5510.99,5787.58,,,,
2026-03-03,5704.73,5705.52,5450.85,5475.69,,,,
2026-03-04,5384.34,5384.34,5223.07,5254.41,,,,
2026-03-05,5352.92,5409.23,5239.04,5239.04,,,,
2026-03-06,5224.78,5293.80,5213.18,5271.70,,,,
2026-03-09,5167.84,5167.90,5015.48,5115.52,,,,
2026-03-10,5171.19,5260.06,5165.64,5209.80,,,,
2026-03-11,5282.92,5320.08,5248.97,5248.97,,,,
2026-03-12,5223.90,5236.80,5140.42,5198.75,,,,
2026-03-13,5097.14,5120.01,5041.74,5052.66,,,,
2026-03-16,5027.44,5059.65,4980.88,4996.96,,,,
2026-03-17,5039.42,5065.57,5018.16,5037.90,,,,
2026-03-18,5054.92,5105.67,5054.92,5090.28,,,,
2026-03-19,5015.24,5028.02,4949.35,4961.32,,,,
2026-03-23,4875.50,4875.50,4761.36,4846.39,,,,
2026-03-24,4941.40,4950.87,4863.42,4893.60,,,,
2026-03-25,4986.39,5057.37,4955.63,4968.29,,,,
2026-03-26,5000.87,5025.17,4968.43,5017.09,,,,
2026-03-27,4984.25,5073.58,4967.84,5039.80,,,,
2026-03-30,4869.34,4869.34,4734.05,4809.36,,,,
2026-03-31,4797.17,4866.55,4753.35,4761.66,,,,
2026-04-01,4854.64,4939.83,4851.72,4939.83,,,,
2026-04-02,4989.07,5018.46,4867.45,4878.43,,,,
2026-04-03,4901.13,4936.83,4879.85,4880.18,,,,
2026-04-06,4881.70,4919.04,4859.82,4860.49,,,,
2026-04-07,4844.15,4869.03,4835.18,4855.66,,,,
2026-04-08,4949.32,5056.23,4949.26,5028.38,,,,
2026-04-09,5026.04,5037.41,4958.27,4969.27,,,,
