Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,5147.26,5147.26,5094.53,5095.18,,,,
2026-01-29,5103.60,5235.86,5079.35,5210.63,,,,2026-01-30,5238.96,5309.92,5222.63,5285.36,,,,
2026-02-02,5384.18,5441.57,5292.81,5314.57,,,,
2026-02-03,5387.71,5400.20,5340.65,5377.82,,,,
2026-02-04,5427.68,5540.89,5412.92,5520.65,,,,
2026-02-05,5612.70,5632.44,5498.08,5525.18,,,,
2026-02-06,5506.24,5647.43,5491.43,5646.44,,,,
2026-02-09,5738.25,5848.15,5586.57,5586.62,,,,
2026-02-10,5595.80,5680.59,5564.30,5640.48,,,,
2026-02-12,5605.40,5611.97,5525.32,5607.52,,,,
2026-02-13,5641.83,5692.69,5631.29,5691.24,,,,
2026-02-16,5672.06,5680.05,5575.52,5575.52,,,,
2026-02-17,5588.04,5646.48,5587.72,5619.61,,,,
2026-02-18,5668.18,5693.92,5632.41,5648.49,,,,
2026-02-19,5641.51,5718.40,5610.30,5703.17,,,,
2026-02-20,5608.67,5608.67,5495.93,5530.29,,,,
