Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,3345.87,3358.04,3331.15,3345.53,,,,
2026-01-29,3339.60,3365.38,3319.24,3355.06,,,,2026-01-30,3365.99,3382.63,3346.42,3374.88,,,,
2026-02-02,3404.41,3433.71,3343.70,3346.04,,,,
2026-02-03,3385.46,3455.06,3383.09,3450.62,,,,
2026-02-04,3441.99,3462.93,3427.38,3459.56,,,,
2026-02-05,3471.22,3488.24,3442.76,3455.95,,,,
2026-02-06,3439.36,3500.60,3418.94,3500.60,,,,
2026-02-09,3554.87,3621.88,3551.72,3581.30,,,,
2026-02-10,3605.77,3657.72,3605.03,3649.39,,,,
2026-02-12,3649.86,3680.85,3644.12,3674.36,,,,
2026-02-13,3654.44,3664.48,3611.77,3614.84,,,,
2026-02-16,3619.79,3623.86,3581.52,3584.19,,,,
2026-02-17,3578.51,3591.20,3544.68,3559.31,,,,
2026-02-18,3580.41,3612.61,3579.99,3603.01,,,,
2026-02-19,3617.33,3652.07,3610.73,3645.92,,,,
2026-02-20,3616.37,3616.37,3591.73,3604.58,,,,
2026-02-24,3602.13,3619.01,3589.07,3610.98,,,,
2026-02-25,3624.10,3654.29,3603.41,3636.91,,,,
2026-02-26,3667.92,3694.45,3666.26,3672.62,,,,
2026-02-27,3671.14,3727.33,3669.24,3727.33,,,,
2026-03-02,3674.39,3689.40,3618.52,3689.40,,,,
2026-03-03,3659.85,3666.01,3561.16,3569.59,,,,
2026-03-04,3518.76,3523.44,3396.84,3438.75,,,,
2026-03-05,3497.38,3574.31,3483.39,3502.98,,,,
2026-03-06,3469.83,3520.83,3455.41,3516.86,,,,
2026-03-09,3453.11,3453.11,3304.09,3382.93,,,,
2026-03-10,3429.40,3492.79,3424.14,3466.37,,,,
2026-03-11,3503.65,3539.38,3494.77,3499.22,,,,
2026-03-12,3462.97,3468.78,3420.45,3453.61,,,,
2026-03-13,3403.79,3451.77,3393.37,3433.78,,,,
2026-03-16,3423.42,3442.89,3392.61,3415.96,,,,
2026-03-17,3450.70,3472.59,3417.93,3431.67,,,,
2026-03-18,3456.30,3517.33,3456.30,3517.16,,,,
2026-03-19,3460.06,3464.34,3414.66,3415.02,,,,
2026-03-23,3359.99,3359.99,3261.39,3298.81,,,,
2026-03-24,3353.62,3382.81,3334.02,3367.95,,,,
2026-03-25,3418.51,3463.57,3418.39,3454.45,,,,
2026-03-26,3461.85,3476.01,3417.05,3447.03,,,,
2026-03-27,3430.93,3467.12,3405.00,3453.39,,,,
2026-03-30,3360.58,3360.58,3287.54,3351.78,,,,
2026-03-31,3327.09,3384.43,3295.51,3309.44,,,,
2026-04-01,3364.85,3474.03,3361.91,3474.03,,,,
2026-04-02,3498.97,3517.63,3408.46,3417.59,,,,
2026-04-03,3446.60,3467.15,3435.96,3449.54,,,,
2026-04-06,3454.61,3484.74,3448.18,3448.91,,,,
2026-04-07,3461.96,3487.09,3441.54,3457.47,,,,
2026-04-08,3516.46,3578.42,3516.13,3572.91,,,,
2026-04-09,3573.60,3583.66,3537.17,3541.02,,,,
2026-04-10,3549.33,3559.98,3536.40,3539.71,,,,
2026-04-13,3520.60,3550.61,3508.50,3523.50,,,,
2026-04-14,3554.07,3568.32,3546.35,3554.20,,,,
2026-04-15,3580.43,3591.92,3562.05,3568.28,,,,
