Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,2026.89,2033.93,2017.23,2024.07,,,,
2026-01-29,2031.96,2041.07,2014.35,2020.63,,,,2026-01-30,2012.95,2028.71,2007.09,2011.94,,,,
2026-02-02,1992.63,2029.24,1976.13,2028.04,,,,
2026-02-03,2005.12,2005.12,1961.32,1963.35,,,,
2026-02-04,1967.47,1975.33,1956.09,1958.05,,,,
2026-02-05,1951.20,1969.02,1941.80,1961.38,,,,
2026-02-06,1969.42,1982.76,1938.04,1938.04,,,,
2026-02-09,1908.97,1909.94,1866.91,1888.43,,,,
2026-02-10,1874.08,1875.40,1846.13,1849.91,,,,
2026-02-12,1850.09,1851.94,1835.85,1839.00,,,,
2026-02-13,1845.80,1869.53,1844.15,1868.42,,,,
2026-02-16,1865.06,1884.11,1863.00,1883.18,,,,
2026-02-17,1885.44,1903.52,1879.98,1895.23,,,,
2026-02-18,1883.10,1883.10,1866.80,1872.30,,,,
2026-02-19,1864.25,1868.37,1847.02,1850.21,,,,
2026-02-20,1866.68,1875.56,1866.31,1869.27,,,,
2026-02-24,1870.58,1876.00,1860.86,1865.16,,,,
2026-02-25,1858.63,1866.09,1838.12,1846.88,,,,
