Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,650.22,653.93,648.05,648.05,,,,
2026-01-29,644.56,653.29,641.94,652.02,,,,2026-01-30,651.53,658.79,650.57,656.50,,,,
2026-02-02,661.13,666.14,656.14,656.14,,,,
2026-02-03,659.30,670.96,659.22,670.16,,,,
2026-02-04,675.42,680.28,669.26,677.26,,,,
2026-02-05,688.00,689.88,677.38,679.59,,,,
2026-02-06,681.73,688.02,664.53,665.78,,,,
2026-02-09,675.69,686.65,674.65,682.37,,,,
2026-02-10,686.93,695.65,686.83,691.42,,,,
2026-02-12,694.96,704.97,694.04,703.65,,,,
2026-02-13,706.35,710.94,692.13,704.09,,,,
2026-02-16,703.74,704.06,697.29,700.45,,,,
2026-02-17,698.80,704.44,695.65,701.13,,,,
2026-02-18,702.59,713.57,702.59,712.51,,,,
2026-02-19,706.05,710.28,697.51,709.82,,,,
2026-02-20,704.98,708.55,702.33,706.28,,,,
2026-02-24,707.83,717.70,703.13,715.30,,,,
2026-02-25,717.21,719.27,710.90,716.63,,,,
2026-02-26,721.04,723.16,716.51,716.83,,,,
2026-02-27,716.25,730.12,714.34,728.02,,,,
