Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,3157.76,3164.04,3143.56,3145.94,,,,
2026-01-29,3108.57,3109.81,3074.73,3099.42,,,,2026-01-30,3101.87,3105.95,3069.68,3087.26,,,,
2026-02-02,3118.47,3146.11,3096.34,3110.33,,,,
2026-02-03,3120.81,3160.01,3120.81,3147.27,,,,
2026-02-04,3112.98,3112.98,2996.84,2996.84,,,,
2026-02-05,3006.76,3007.74,2965.22,2969.75,,,,
2026-02-06,2955.70,2960.11,2917.61,2960.11,,,,
2026-02-09,2988.00,3021.43,2983.89,3005.10,,,,
2026-02-10,3037.10,3091.03,3036.12,3062.17,,,,
2026-02-12,3044.04,3044.04,2974.03,2975.52,,,,
2026-02-13,2960.22,2960.22,2833.26,2837.31,,,,
2026-02-16,2859.46,2859.46,2815.41,2845.09,,,,
2026-02-17,2823.56,2823.56,2786.43,2795.92,,,,
2026-02-18,2798.75,2837.82,2795.58,2837.72,,,,
2026-02-19,2858.12,2865.88,2823.80,2849.29,,,,
2026-02-20,2845.36,2849.44,2820.08,2824.29,,,,
2026-02-24,2804.91,2828.93,2788.58,2798.41,,,,
2026-02-25,2809.71,2838.17,2799.78,2826.30,,,,
2026-02-26,2860.12,2941.01,2858.00,2919.20,,,,
2026-02-27,2951.12,2974.89,2929.22,2959.31,,,,
2026-03-02,2929.61,2932.81,2895.58,2906.60,,,,
2026-03-03,2901.78,2909.73,2864.76,2873.01,,,,
2026-03-04,2867.82,2880.92,2832.37,2847.60,,,,
2026-03-05,2884.74,2943.99,2879.94,2886.17,,,,
2026-03-06,2898.77,2931.63,2881.69,2919.53,,,,
2026-03-09,2867.58,2869.35,2803.88,2853.71,,,,
2026-03-10,2863.18,2881.96,2832.98,2855.62,,,,
2026-03-11,2876.10,2882.19,2845.41,2847.38,,,,
2026-03-12,2819.53,2827.59,2784.80,2810.35,,,,
2026-03-13,2781.77,2809.64,2773.78,2802.41,,,,
2026-03-16,2797.56,2829.60,2779.08,2784.69,,,,
2026-03-17,2814.53,2830.04,2802.75,2816.99,,,,
2026-03-18,2812.67,2845.41,2810.50,2842.61,,,,
2026-03-19,2802.63,2813.02,2765.50,2765.50,,,,
2026-03-23,2727.39,2735.41,2699.82,2717.51,,,,
2026-03-24,2756.70,2781.23,2744.49,2781.23,,,,
2026-03-25,2793.13,2810.74,2775.96,2784.84,,,,
2026-03-26,2780.85,2792.54,2761.35,2777.32,,,,
2026-03-27,2798.90,2820.34,2786.47,2809.35,,,,
2026-03-30,2740.52,2741.27,2686.84,2731.50,,,,
2026-03-31,2757.81,2816.13,2757.81,2774.81,,,,
2026-04-01,2812.21,2909.87,2808.06,2909.87,,,,
2026-04-02,2906.89,2931.14,2851.78,2858.40,,,,
2026-04-03,2879.43,2902.11,2860.78,2872.42,,,,
2026-04-06,2867.62,2895.94,2867.62,2879.04,,,,
2026-04-07,2883.47,2918.38,2882.43,2888.39,,,,
2026-04-08,2931.23,2970.69,2930.68,2969.73,,,,
2026-04-09,2957.93,2957.93,2915.09,2920.54,,,,
2026-04-10,2910.26,2910.26,2868.79,2885.24,,,,
2026-04-13,2847.01,2880.62,2844.13,2869.16,,,,
2026-04-14,2897.21,2904.51,2872.11,2875.82,,,,
2026-04-15,2884.88,2925.35,2884.88,2922.96,,,,
2026-04-16,2963.49,2972.00,2944.58,2945.82,,,,
2026-04-17,2949.46,3002.14,2949.46,2982.49,,,,
2026-04-20,2988.97,3000.20,2982.57,2992.80,,,,
2026-04-21,2991.37,3008.78,2978.86,2999.25,,,,
2026-04-22,3007.13,3016.02,2991.44,3000.59,,,,
2026-04-23,2960.99,2960.99,2893.16,2915.59,,,,
2026-04-24,2890.25,2897.80,2849.35,2862.36,,,,
2026-04-27,2847.80,2877.05,2844.43,2848.98,,,,
2026-04-28,2882.05,2901.94,2864.49,2901.94,,,,
2026-04-30,2861.55,2863.37,2812.52,2836.91,,,,
